Event,Win/Loss/Draw,Fighter,Opponent,Method,Referee,Round,Time,Closed Odds
"ROF 38 - Ascension","WIN","CAT ZINGANO","IVANA COLEMAN","TKO (Punches)","Tom Johnson","1","1:54",""
"FTW - Phenoms","WIN","CAT ZINGANO","BARB HONCHAK","Decision (Unanimous)","Adam Martinez","3","5:00",""
"ROF 33 - Adrenaline","WIN","CAT ZINGANO","ANGELA SAMARO","Submission (Anaconda Choke)","Curtis Thrasher","2","3:40",""
"ROF 32 - Respect","WIN","CAT ZINGANO","KARINA TAYLOR","Submission (Armbar)","Tim Mills","1","2:30",""
"Battlequest 8 - Battlequest 8","WIN","CAT ZINGANO","KRYSTAL MACATOL","Submission (Armbar)","Jerome Locke","1","0:51",""
"KC 45 - Season's Beatings 2","LOSS","CAT ZINGANO","LOUISE JOHNSON","TKO (Punches)","Don Thais","3","2:24",""
"ROF 31 - Undisputed","WIN","CAT ZINGANO","COLETTE ELAINE GARCIA","TKO (Punches)","Curtis Thrasher","3","0:45",""
"RMBB & PCF 1 - HellRazor","WIN","CAT ZINGANO","ANN WYBORNY","TKO (Punches)","Don Thais","1","1:43",""
"UFC Fight Night 155 - De Randamie vs. Ladd","LOSS","CEZAR FERREIRA","MARVIN VETTORI","Decision (Unanimous)","Herb Dean","3","5:00","+130"
"UFC Fight Night 140 - Magny vs. Ponzinibbio","LOSS","CEZAR FERREIRA","IAN HEINISCH","Decision (Unanimous)","Keith Peterson","3","5:00","-210"
"UFC 224 - Nunes vs. Pennington","WIN","CEZAR FERREIRA","KARL ROBERSON","Technical Submission (Arm-Triangle Choke)","Fernando Portella","1","4:45","-160"
"UFC Fight Night 120 - Poirier vs. Pettis","WIN","CEZAR FERREIRA","NATE MARQUARDT","Decision (Split)","Dan Miragliotta","3","5:00","-300"
"UFC Fight Night 105 - Lewis vs. Browne","LOSS","CEZAR FERREIRA","ELIAS THEODOROU","Decision (Unanimous)","Keith Peterson","3","5:00","-125"
"UFC Fight Night 100 - Bader vs. Nogueira 2","WIN","CEZAR FERREIRA","JACK HERMANSSON","Submission (Arm-Triangle Choke)","Fernando Portella","2","2:11","+105"
"UFC - The Ultimate Fighter 23 Finale","WIN","CEZAR FERREIRA","ANTHONY SMITH","Decision (Unanimous)","Chris Tognoni","3","5:00","+150"
"UFC on Fox 19 - Teixeira vs. Evans","WIN","CEZAR FERREIRA","OLUWALE BAMGBOSE","Decision (Unanimous)","Herb Dean","3","5:00","+150"
"UFC - The Ultimate Fighter 21 Finale","LOSS","CEZAR FERREIRA","JORGE MASVIDAL","KO (Elbows and Punches)","John McCarthy","1","4:22","+150"
"UFC Fight Night 61 - Bigfoot vs. Mir","LOSS","CEZAR FERREIRA","SAM ALVEY","KO (Punches)","Mario Yamasaki","1","3:34","-385"
"UFC Fight Night 44 - Swanson vs. Stephens","WIN","CEZAR FERREIRA","ANDREW CRAIG","Decision (Unanimous)","Jacob Montalvo","3","5:00","-500"
"UFC Fight Night 38 - Shogun vs. Henderson 2","LOSS","CEZAR FERREIRA","C.B. DOLLAWAY","KO (Punches)","Mario Yamasaki","1","0:39","-450"
"UFC Fight Night 32 - Belfort vs. Henderson","WIN","CEZAR FERREIRA","DANIEL SARAFIAN","Decision (Split)","Mario Yamasaki","3","5:00","-182"
"UFC 163 - Aldo vs. Korean Zombie","WIN","CEZAR FERREIRA","THIAGO SANTOS","Submission (Guillotine Choke)","Mario Yamasaki","1","0:47","-556"
"UFC 147 - Silva vs. Franklin 2","WIN","CEZAR FERREIRA","SERGIO MORAES","Decision (Unanimous)","Herb Dean","3","5:00","-350"
"SCC - Superior Cage Combat 2","LOSS","CEZAR FERREIRA","ELVIS MUTAPCIC","KO (Punch)","Chris Tognoni","1","0:25","n/a"
"ROF 40 - Backlash","WIN","CEZAR FERREIRA","CHAUN SIMS","KO (Punch)","Tom Johnson","1","0:17",""
"BC - Bitetti Combat 7","WIN","CEZAR FERREIRA","CASSIANO RICARDO CASTANHO DE FREITAS","TKO (Doctor Stoppage)","Osiris Maia","2","3:37",""
"BC - Bitetti Combat 6","WIN","CEZAR FERREIRA","FELIPE ARINELLI","Technical Submission (Anaconda Choke)","Osiris Maia","2","0:55",""
"XFC - Brazil","LOSS","CEZAR FERREIRA","ANTONIO BRAGA NETO","Decision","N/A","1","10:00",""
"XFC - Brazil","WIN","CEZAR FERREIRA","ANDRE SEVERO","TKO (Punches)","N/A","1","1:29",""
"UFC 231 - Holloway vs. Ortega","LOSS","CHAD LAPRISE","DHIEGO LIMA","KO (Punch)","Graham Bettes","1","1:37","-465"
"UFC Fight Night 129 - Maia vs. Usman","LOSS","CHAD LAPRISE","VICENTE LUQUE","KO (Punches)","Marc Goddard","1","4:16","+150"
"UFC on Fox 26 - Lawler vs. dos Anjos","WIN","CHAD LAPRISE","GALORE BOFANDO","TKO (Punches)","Yves Lavigne","1","4:10","-170"
"UFC 213 - Romero vs. Whittaker","WIN","CHAD LAPRISE","BRIAN CAMOZZI","TKO (Punches and Elbows)","Herb Dean","3","1:27","-950"
"UFC on Fox 21 - Maia vs. Condit","WIN","CHAD LAPRISE","THIBAULT GOUTI","TKO (Punches)","Kevin Dornan","1","1:36","-340"
"UFC Fight Night 85 - Hunt vs. Mir","LOSS","CHAD LAPRISE","ROSS PEARSON","Decision (Split)","Steve Perceval","3","5:00","-125"
"UFC Fight Night 74 - Holloway vs. Oliveira","LOSS","CHAD LAPRISE","FRANCISCO TRINALDO","TKO (Punches)","Herb Dean","1","2:43","-475"
"UFC 186 - Johnson vs. Horiguchi","WIN","CHAD LAPRISE","BRYAN BARBERENA","Decision (Unanimous)","Philippe Chartier","3","5:00","-450"
"UFC Fight Night 54 - MacDonald vs. Saffiedine","WIN","CHAD LAPRISE","YOSDENIS CEDENO","Decision (Unanimous)","Cyril Desjardins","3","5:00","-414"
"UFC - The Ultimate Fighter Nations Finale","WIN","CHAD LAPRISE","OLIVIER AUBIN-MERCIER","Decision (Split)","Yves Lavigne","3","5:00","+115"
"XFFC 2 - East vs. West","WIN","CHAD LAPRISE","DEREK BOYLE","Decision (Unanimous)","Andy Social","3","5:00",""
"BFC - Bellator Fighting Championships 76","WIN","CHAD LAPRISE","AINSLEY ROBINSON","Decision (Unanimous)","Ivan Svec","3","5:00",""
"BFC - Bellator Fighting Championships 64","WIN","CHAD LAPRISE","JOSH TAVEIRNE","Submission (Triangle Choke)","Graham Bettes","1","2:48",""
"PFC 1 - Border Wars","WIN","CHAD LAPRISE","ANDREW MCINNES","TKO (Punches)","N/A","1","2:29",""
"XCC 64 - Battle at the Border 10","WIN","CHAD LAPRISE","JAMES BARBER","TKO (Punches)","N/A","1","1:08",""
"Fighting Spirit MMA 12 - Furious","WIN","CHAD LAPRISE","SIMONIE JOANNIE","TKO (Punches)","N/A","1","0:00",""
"Fighting Spirit MMA - Meltdown","WIN","CHAD LAPRISE","JAMES BARBER","TKO (Punches)","N/A","1","0:00",""
"UFC 232 - Jones vs. Gustafsson 2","LOSS","CHAD MENDES","ALEXANDER VOLKANOVSKI","TKO (Punches)","Mark Smith","2","4:14","-150"
"UFC Fight Night 133 - Dos Santos vs. Ivanov","WIN","CHAD MENDES","MYLES JURY","TKO (Punches)","Jason Herzog","1","2:52","-235"
"UFC - The Ultimate Fighter 22 Finale","LOSS","CHAD MENDES","FRANKIE EDGAR","KO (Punch)","John McCarthy","1","2:28","+105"
"UFC 189 - Mendes vs. McGregor","LOSS","CHAD MENDES","CONOR MCGREGOR","TKO (Punches)","Herb Dean","2","4:57","+140"
"UFC Fight Night 63 - Mendes vs. Lamas","WIN","CHAD MENDES","RICARDO LAMAS","TKO (Punches)","Dan Miragliotta","1","2:45","-560"
"UFC 179 - Aldo vs. Mendes 2","LOSS","CHAD MENDES","JOSE ALDO","Decision (Unanimous)","Marc Goddard","5","5:00","+165"
"UFC on Fox 9 - Johnson vs. Benavidez 2","WIN","CHAD MENDES","NIK LENTZ","Decision (Unanimous)","John McCarthy","3","5:00","-1111"
"UFC 164 - Henderson vs. Pettis 2","WIN","CHAD MENDES","CLAY GUIDA","TKO (Punches)","Yves Lavigne","3","0:30","-714"
"UFC on Fox 7 - Henderson vs. Melendez","WIN","CHAD MENDES","DARREN ELKINS","KO (Punches)","Herb Dean","1","1:08","-750"
"UFC on FX 6 - Sotiropoulos vs. Pearson","WIN","CHAD MENDES","YAOTZIN MEZA","KO (Punches)","Steve Perceval","1","1:55","-1650"
"UFC 148 - Silva vs. Sonnen 2","WIN","CHAD MENDES","CODY MCKENZIE","KO (Punch to the Body)","Steve Mazzagatti","1","0:31","-705"
"UFC 142 - Aldo vs. Mendes","LOSS","CHAD MENDES","JOSE ALDO","KO (Knee)","Mario Yamasaki","1","4:59","+206"
"UFC 133 - Evans vs. Ortiz 2","WIN","CHAD MENDES","RANI YAHYA","Decision (Unanimous)","Keith Peterson","3","5:00","-650"
"UFC 126 - Silva vs. Belfort","WIN","CHAD MENDES","MICHIHIRO OMIGAWA","Decision (Unanimous)","Herb Dean","3","5:00","-500"
"WEC 52 - Faber vs. Mizugaki","WIN","CHAD MENDES","JAVIER VAZQUEZ","Decision (Unanimous)","Herb Dean","3","5:00","-357"
"WEC 50 - Cruz vs. Benavidez 2","WIN","CHAD MENDES","CUB SWANSON","Decision (Unanimous)","Josh Rosenthal","3","5:00","-445"
"WEC 48 - Aldo vs. Faber","WIN","CHAD MENDES","ANTHONY MORRISON","Submission (Guillotine Choke)","Jon Schorle","1","2:13","-750"
"WEC 47 - Bowles vs. Cruz","WIN","CHAD MENDES","ERIK KOCH","Decision (Unanimous)","Greg Franklin","3","5:00","-325"
"TPF 1 - Tachi Palace Fights 1","WIN","CHAD MENDES","MIKE JOY","Decision (Unanimous)","N/A","3","5:00",""
"TPF - Best of Both Worlds","WIN","CHAD MENDES","STEVEN SILER","KO (Punches)","Jason McCoy","1","0:44","n/a"
"PFC - Best of Both Worlds 2","WIN","CHAD MENDES","ART ARCINIEGA","Decision (Unanimous)","N/A","3","3:00","n/a"
"PFC - Best of Both Worlds","WIN","CHAD MENDES","LELAND GRIDLEY","TKO (Punches)","N/A","2","1:58","n/a"
"PFC 10 - Explosive","WIN","CHAD MENDES","GIOVANNI ENCARNACION","Submission (Rear-Naked Choke)","N/A","1","2:06",""
"UFC Fight Night 154 - Moicano vs. The Korean Zombie","WIN","CHAN SUNG JUNG","RENATO CARNEIRO","TKO (Punches)","Blake Grice","1","0:58","+120"
"UFC Fight Night 139 - Korean Zombie vs. Rodriguez","LOSS","CHAN SUNG JUNG","YAIR RODRIGUEZ","KO (Elbow)","Kevin MacDonald","5","4:59","-110"
"UFC Fight Night 104 - Bermudez vs. Korean Zombie","WIN","CHAN SUNG JUNG","DENNIS BERMUDEZ","KO (Punch)","Herb Dean","1","2:49","+145"
"UFC 163 - Aldo vs. Korean Zombie","LOSS","CHAN SUNG JUNG","JOSE ALDO","TKO (Punches)","Herb Dean","4","2:00","+475"
"UFC on Fuel TV 3 - Korean Zombie vs. Poirier","WIN","CHAN SUNG JUNG","DUSTIN POIRIER","Technical Submission (Brabo Choke)","Dan Miragliotta","4","1:07","+240"
"UFC 140 - Jones vs. Machida","WIN","CHAN SUNG JUNG","MARK HOMINICK","KO (Punches)","Herb Dean","1","0:07","+300"
"UFC Fight Night 24 - Nogueira vs. Davis","WIN","CHAN SUNG JUNG","LEONARD GARCIA","Submission (Twister)","Dan Miragliotta","2","4:59","-130"
"WEC 51 - Aldo vs. Gamburyan","LOSS","CHAN SUNG JUNG","GEORGE ROOP","KO (Head Kick)","Tom Johnson","2","1:30","-340"
"WEC 48 - Aldo vs. Faber","LOSS","CHAN SUNG JUNG","LEONARD GARCIA","Decision (Split)","Jon Schorle","3","5:00","-120"
"Sengoku - Ninth Battle","WIN","CHAN SUNG JUNG","MATT JAGGERS","Submission (Triangle Choke)","Samio Kimura","2","1:25","-365"
"Sengoku - Eighth Battle","LOSS","CHAN SUNG JUNG","MASANORI KANEHARA","Decision (Unanimous)","Kenichi Serizawa","3","5:00","-215"
"Sengoku - Seventh Battle","WIN","CHAN SUNG JUNG","SHINTARO ISHIWATARI","Submission (Rear-Naked Choke)","Kenichi Serizawa","1","4:29","-115"
"Deep - 39 Impact","WIN","CHAN SUNG JUNG","FANJIN SON","KO (Punches)","N/A","1","0:17",""
"Deep - Gladiator","WIN","CHAN SUNG JUNG","MICHIHIRO OMIGAWA","Decision (Unanimous)","N/A","2","5:00",""
"Korea FC - Tournament Series","WIN","CHAN SUNG JUNG","JUNG HYUN JO","Decision (Unanimous)","N/A","3","5:00",""
"Korea FC - Tournament Series","WIN","CHAN SUNG JUNG","DAE HAN CHOI","Submission (Triangle Choke)","N/A","1","3:58",""
"Korea FC - Tournament Series","WIN","CHAN SUNG JUNG","JUNG BEOM CHOI","Submission (Armbar)","N/A","1","2:15",""
"Pancrase - 2007 Korea Neo-Blood Tournament","WIN","CHAN SUNG JUNG","HYUNG GEOL LEE","TKO (Punches)","N/A","1","3:27",""
"Pancrase - 2007 Korea Neo-Blood Tournament","WIN","CHAN SUNG JUNG","IN SEOK YOO","Submission (Rear-Naked Choke)","N/A","1","2:34",""
"SSF - Super Sambo Festival","WIN","CHAN SUNG JUNG","HYUNG GEOL LEE","Submission (Armbar)","N/A","2","3:07",""
"UFC 239 - Jones vs. Santos","WIN","CHANCE RENCOUNTRE","ISMAIL NAURDIEV","Decision (Unanimous)","Mark Smith","3","5:00","+370"
"UFC Fight Night 143 - Cejudo vs. Dillashaw","WIN","CHANCE RENCOUNTRE","KYLE STEWART","Submission (Rear-Naked Choke)","Dan Miragliotta","1","2:25","+130"
"UFC Fight Night 131 - Rivera vs. Moraes","LOSS","CHANCE RENCOUNTRE","BELAL MUHAMMAD","Decision (Unanimous)","Kevin MacDonald","3","5:00","+300"
"C3 Fights - Border Wars","WIN","CHANCE RENCOUNTRE","CHRIS HARRIS","Submission (Rear-Naked Choke)","N/A","1","2:42",""
"Bellator 184 - Dantas vs. Caldwell","WIN","CHANCE RENCOUNTRE","JUSTIN PATTERSON","Submission (Brabo Choke)","Kerry Hatley","1","2:58","n/a"
"DCS 33 - Spring Brawl 2017","WIN","CHANCE RENCOUNTRE","BRIAN MONAGHAN","TKO (Punches)","N/A","3","3:02",""
"Bellator 171 - Guillard vs. Njokuani","WIN","CHANCE RENCOUNTRE","JAKE LINDSEY","Decision (Split)","Rob Hinds","3","5:00","n/a"
"Bellator 151 - Warren vs. Caldwell","LOSS","CHANCE RENCOUNTRE","JUSTIN PATTERSON","Decision (Split)","Dan Miragliotta","3","5:00","n/a"
"C3 Fights - Beltran vs. Stafford","WIN","CHANCE RENCOUNTRE","JOE HEILAND","Decision (Unanimous)","Anthony Macias","3","5:00",""
"RFA 30 - Smith vs. Jardine","LOSS","CHANCE RENCOUNTRE","JAMES NAKASHIMA","Decision (Unanimous)","Dave Jobuen","3","5:00","n/a"
"LF - Legend Fights","WIN","CHANCE RENCOUNTRE","ANDREW PARKER","TKO (Punches)","Herb Dean","1","3:09",""
"C3 Fights - Rencourntre vs. Jackson","WIN","CHANCE RENCOUNTRE","MIKE    JACKSON","Decision (Unanimous)","Kevin Nix","3","5:00",""
"OFC - Oklahoma Fighting Championship 3","WIN","CHANCE RENCOUNTRE","ZAC KELLEY","TKO (Punches)","Mark Carter","2","0:42",""
"C3 Fights - Border Wars 2014","WIN","CHANCE RENCOUNTRE","JOSE BREWER","KO (Punch)","Anthony Macias","1","0:28",""
"C3 Fights - Fall Brawl 2013","WIN","CHANCE RENCOUNTRE","RASHID ABDULLAH","KO (Punch)","Anthony Macias","1","2:06",""
"Titan FC 26 - Titan Fighting Championship 26","WIN","CHANCE RENCOUNTRE","JASON WITT","TKO (Punches)","Rusty Sullivan","2","0:56",""
"RFC 6 - Rhino Fighting Championships","WIN","CHANCE RENCOUNTRE","WESLEY SULLIVAN","Decision (Unanimous)","N/A","3","5:00",""
"Double G FC 2 - Double G Fighting Championship","LOSS","CHANMI JEON","SHIZUKA SUGIYAMA","Decision (Unanimous)","N/A","3","5:00",""
"UFC Fight Night 117 - St. Preux vs. Okami","LOSS","CHANMI JEON","SYURI KONDO","Decision (Split)","Steve Perceval","3","5:00","+120"
"UFC Fight Night 110 - Hunt vs. Lewis","LOSS","CHANMI JEON","J.J. ALDRICH","Decision (Unanimous)","Neil Swailes","3","5:00","+140"
"All FC 5 - All Fighting Championship 5","WIN","CHANMI JEON","MEGUMI YABUSHITA","TKO (Punches)","N/A","1","3:00",""
"All FC 1 - All Fighting Championship 1","WIN","CHANMI JEON","NA-YOUNG SONG","Decision (Unanimous)","N/A","2","5:00",""
"All FC 1 - All Fighting Championship 1","WIN","CHANMI JEON","SO-MIN JI","TKO (Elbows)","N/A","1","0:47",""
"KAMA - Korean All MMA Association 13","WIN","CHANMI JEON","NATSUMI SUGIE","KO (Knee)","N/A","1","0:30",""
"KAMA - Korean All MMA Association 11","WIN","CHANMI JEON","NOZOMI  DAI","TKO (Knees)","N/A","1","0:36",""
"UFC 235 - Jones vs. Smith","LOSS","CHARLES BYRD","EDMEN SHAHBAZYAN","TKO (Elbows and Punches)","Mark Smith","1","0:38","+105"
"UFC 228 - Woodley vs. Till","LOSS","CHARLES BYRD","DARREN STEWART","TKO (Punches and Elbows)","Jacob Montalvo","2","2:17","-200"
"UFC Fight Night 127 - Werdum vs. Volkov","WIN","CHARLES BYRD","JOHN PHILLIPS","Submission (Rear-Naked Choke)","Marc Goddard","1","3:58","-115"
"Dana White's Tuesday Night Contender Series - Season 1, Episode 6","WIN","CHARLES BYRD","RANDALL WALLACE","Submission (Rear-Naked Choke)","Herb Dean","2","2:03",""
"Dana White's Tuesday Night Contender Series - Season 1, Episode 1","WIN","CHARLES BYRD","JAMIE PICKETT","Technical Submission (Arm-Triangle Choke)","John McCarthy","1","4:55",""
"LFC 57 - Legacy Fighting Championship 57","WIN","CHARLES BYRD","QUENTIN HENRY","TKO (Punches)","Jordan Bass","1","2:50",""
"AXS TV Fights - RFA vs. Legacy Superfight","LOSS","CHARLES BYRD","BOJAN VELICKOVIC","Decision (Unanimous)","David Ferguson","3","5:00",""
"LFC 38 - Legacy Fighting Championship 38","WIN","CHARLES BYRD","EVAN THOMPSON","TKO (Punches)","Don Turnage","1","4:51",""
"LFC 24 - Legacy Fighting Championship 24","WIN","CHARLES BYRD","MIKE JASPER","Decision (Split)","Steve Armstrong","3","5:00",""
"LFC 16 - Legacy Fighting Championship 16","LOSS","CHARLES BYRD","DERRICK KRANTZ","Submission (Rear-Naked Choke)","Jay Stafin","1","3:02","n/a"
"DWTC - Dominion Warrior Tri Combat","WIN","CHARLES BYRD","IRA BOYD","Submission (Arm-Triangle Choke)","Aladin Martinez","1","2:11",""
"Fight Game - Premier Event","WIN","CHARLES BYRD","ROBERT AGEE","Decision (Unanimous)","Don Turnage","3","3:00",""
"24/7 Entertainment 2 - Battle in the Panhandle: Amarillo vs. Dallas","WIN","CHARLES BYRD","GABRIEL VASQUEZ","Submission (Neck Crank)","Kerry Hatley","1","2:15",""
"LP - Legacy Promotions","LOSS","CHARLES BYRD","MARCELO AZEVEDO","Submission (Rear-Naked Choke)","Kevin Hancock","1","2:04",""
"KOK 7 - Judgment Day","WIN","CHARLES BYRD","CHRIS TRAMMEL","TKO (Punches)","Kerry Hatley","1","1:27",""
"Global Fighting Promotions - Dominant Knockout 1","LOSS","CHARLES BYRD","DONYIELL WINROW","DQ (Knee to Downed Opponent)","N/A","1","2:48",""
"UFC Fight Night 152 - Dos Anjos vs. Lee","WIN","CHARLES OLIVEIRA","NIK LENTZ","TKO (Punches)","Todd Anderson","2","2:11","-420"
"UFC Fight Night 144 - Assuncao vs. Moraes 2","WIN","CHARLES OLIVEIRA","DAVID TEYMUR","Submission (Anaconda Choke)","Jerin Valel","2","0:55","-140"
"UFC on Fox 31 - Iaquinta vs. Lee 2","WIN","CHARLES OLIVEIRA","JIM MILLER","Submission (Rear-Naked Choke)","Keith Peterson","1","1:15","-333"
"UFC Fight Night 137 - Santos vs. Anders","WIN","CHARLES OLIVEIRA","CHRISTOS GIAGOS","Submission (Rear-Naked Choke)","Jerin Valel","2","3:22","-545"
"UFC 225 - Whittaker vs. Romero 2","WIN","CHARLES OLIVEIRA","CLAY GUIDA","Submission (Guillotine Choke)","Herb Dean","1","2:18","-165"
"UFC 218 - Holloway vs. Aldo 2","LOSS","CHARLES OLIVEIRA","PAUL FELDER","TKO (Elbows)","Dan Miragliotta","2","4:06","-155"
"UFC 210 - Cormier vs. Johnson 2","WIN","CHARLES OLIVEIRA","WILL BROOKS","Submission (Rear-Naked Choke)","John McCarthy","1","2:30","+170"
"UFC Fight Night 98 - Dos Anjos vs. Ferguson","LOSS","CHARLES OLIVEIRA","RICARDO LAMAS","Submission (Guillotine Choke)","Jerin Valel","2","2:13","-115"
"UFC on Fox 21 - Maia vs. Condit","LOSS","CHARLES OLIVEIRA","ANTHONY PETTIS","Submission (Guillotine Choke)","Yves Lavigne","3","1:49","+125"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","WIN","CHARLES OLIVEIRA","MYLES JURY","Submission (Guillotine Choke)","John Hosegood","1","3:05","+130"
"UFC Fight Night 74 - Holloway vs. Oliveira","LOSS","CHARLES OLIVEIRA","MAX HOLLOWAY","TKO (Esophagus Injury)","Herb Dean","1","1:39","+180"
"UFC Fight Night 67 - Condit vs. Alves","WIN","CHARLES OLIVEIRA","NIK LENTZ","Submission (Guillotine Choke)","Kevin MacDonald","3","1:10","-335"
"UFC - The Ultimate Fighter 20 Finale","WIN","CHARLES OLIVEIRA","JEREMY STEPHENS","Decision (Unanimous)","Herb Dean","3","5:00","-217"
"UFC Fight Night 43 - Te Huna vs. Marquardt","WIN","CHARLES OLIVEIRA","HATSU HIOKI","Submission (Anaconda Choke)","John Sharp","2","4:32","-210"
"UFC Fight Night 36 - Machida vs. Mousasi","WIN","CHARLES OLIVEIRA","ANDY OGLE","Submission (Triangle Choke)","Mario Yamasaki","3","2:40","-1429"
"UFC 162 - Silva vs. Weidman","LOSS","CHARLES OLIVEIRA","FRANKIE EDGAR","Decision (Unanimous)","Yves Lavigne","3","5:00","+400"
"UFC 152 - Jones vs. Belfort","LOSS","CHARLES OLIVEIRA","CUB SWANSON","KO (Punch)","Yves Lavigne","1","2:40","-280"
"UFC - The Ultimate Fighter 15 Finale","WIN","CHARLES OLIVEIRA","JONATHAN BROOKINS","Submission (Guillotine Choke)","Kim Winslow","2","2:42","-217"
"UFC on Fox 2 - Evans vs. Davis","WIN","CHARLES OLIVEIRA","ERIC WISELY","Submission (Calf Slicer)","John McCarthy","1","1:43","-833"
"UFC Live 5 - Hardy vs. Lytle","LOSS","CHARLES OLIVEIRA","DONALD CERRONE","TKO (Punches)","Mario Yamasaki","1","3:01","-130"
"UFC Live 4 - Kongo vs. Barry","NC","CHARLES OLIVEIRA","NIK LENTZ","No Contest (Illegal Knee)","Chip Snider","2","1:48",""
"UFC 124 - St. Pierre vs. Koscheck 2","LOSS","CHARLES OLIVEIRA","JIM MILLER","Submission (Kneebar)","Dan Miragliotta","1","1:59","-175"
"UFC Fight Night 22 - Marquardt vs. Palhares","WIN","CHARLES OLIVEIRA","EFRAIN ESCUDERO","Submission (Rear-Naked Choke)","Kerry Hatley","3","2:25","+115"
"UFC Live 2 - Jones vs. Matyushenko","WIN","CHARLES OLIVEIRA","DARREN ELKINS","Submission (Armbar)","Herb Dean","1","0:41",""
"WC - Warriors Challenge 5","WIN","CHARLES OLIVEIRA","DIEGO BATTAGLIA","KO (Slam)","N/A","1","0:00",""
"WC - Warriors Challenge 5","WIN","CHARLES OLIVEIRA","ROSENILDO ROCHA","Submission (Rear-Naked Choke)","Pedro Paulo","1","1:21",""
"EFC - Eagle Fighting Championship","WIN","CHARLES OLIVEIRA","EDUARDO PACHU","Decision (Split)","Carlos Barreto","3","5:00",""
"FCF - First Class Fight 3","WIN","CHARLES OLIVEIRA","ALEXANDRE BEZERRA","Submission (Anaconda Choke)","N/A","2","1:11",""
"ROC 24 - Ring of Combat 24","WIN","CHARLES OLIVEIRA","DOM STANCO","Submission (Rear-Naked Choke)","Kevin Mulhall","1","3:33",""
"JF 12 - Warriors","WIN","CHARLES OLIVEIRA","CARLOS SOARES","Submission (Triangle Armbar)","N/A","1","2:48",""
"KF 1 - Korea Fight 1","WIN","CHARLES OLIVEIRA","ELIENI SILVA","TKO (Knee and Punches)","N/A","2","0:00",""
"KF 1 - Korea Fight 1","WIN","CHARLES OLIVEIRA","DANIEL FERNANDES","KO","N/A","0","0:00",""
"KA 1 - Kawai Arena 1","WIN","CHARLES OLIVEIRA","MEHDI BAGHDAD","TKO (Punches)","N/A","1","0:00",""
"Predador FC 9 - Welterweight Grand Prix","WIN","CHARLES OLIVEIRA","DIEGO BRAGA ALVES","TKO (Punches)","N/A","1","2:30",""
"Predador FC 9 - Welterweight Grand Prix","WIN","CHARLES OLIVEIRA","VISCARDI ANDRADE","TKO (Punches)","N/A","2","2:47",""
"Predador FC 9 - Welterweight Grand Prix","WIN","CHARLES OLIVEIRA","JACKSON PONTES","Submission (Rear-Naked Choke)","N/A","1","2:11",""
"Circuito Nacional de Vale-Tudo Amador - National Amateur Vale-Tudo Circuit","WIN","CHARLES OLIVEIRA","RUI MACHADO","Submission (Armbar)","N/A","1","0:00",""
"UFC 210 - Cormier vs. Johnson 2","LOSS","CHARLES ROSA","SHANE BURGOS","TKO (Punches)","Todd Anderson","3","1:59","+160"
"UFC Fight Night 81 - Dillashaw vs. Cruz","WIN","CHARLES ROSA","KYLE BOCHNIAK","Decision (Unanimous)","Gary Forman","3","5:00","-275"
"UFC 188 - Velasquez vs. Werdum","LOSS","CHARLES ROSA","YAIR RODRIGUEZ","Decision (Split)","Mario Yamasaki","3","5:00","-235"
